ID	atp6	atp8	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6
m_blood	0	0	0	0	0	0	6	0	0	0	0	0	0
m_blood	0	0	2	0	0	0	6	0	0	0	0	0	1
m_blood	2	0	0	1	0	0	7	0	0	0	0	1	0
m_blood	0	0	0	1	0	0	7	0	0	0	0	0	0
m_blood	0	0	0	0	0	0	0	1	0	0	0	0	0
m_blood	0	0	0	1	0	0	5	1	0	0	0	0	0
m_blood	0	0	0	0	0	0	5	0	1	0	0	0	0
m_blood	0	0	0	0	0	0	5	0	0	0	0	0	0
m_blood	0	0	0	0	0	0	7	0	0	0	0	0	0
m_blood	1	0	0	0	0	0	7	0	0	1	0	1	0
m_blood	1	1	0	2	0	0	13	1	1	2	0	2	0
m_blood	0	0	1	0	0	0	0	0	0	0	0	0	0
m_blood	0	0	0	0	0	0	5	0	0	2	0	0	0
m_blood	0	0	2	0	0	0	5	0	0	0	0	0	0
m_blood	0	0	0	1	0	0	9	0	1	0	0	0	0
m_blood	0	1	0	1	0	0	9	0	0	0	0	0	0
m_blood	1	0	0	1	0	0	5	0	0	0	0	1	0
m_blood	0	0	1	1	0	0	7	0	0	0	0	0	1
m_blood	0	0	0	0	0	0	0	0	0	0	0	1	0
m_blood	0	0	0	0	0	0	6	0	0	0	0	1	0
m_blood	0	1	0	0	0	0	3	0	0	0	0	1	0
m_blood	0	0	0	0	0	0	13	0	1	0	0	0	0
m_blood	0	0	1	1	0	0	6	0	1	0	0	0	0
m_blood	0	0	0	1	0	0	7	0	0	0	0	0	0
m_blood	0	0	1	0	0	0	4	0	0	0	0	0	0
m_blood	0	1	0	0	0	0	4	0	0	0	0	0	0
m_blood	0	1	0	1	0	0	7	0	0	0	0	0	0
m_blood	0	0	0	0	0	0	5	0	0	0	0	0	0
m_blood	1	0	0	1	0	0	8	0	0	1	0	0	0
m_blood	0	1	0	1	0	0	8	0	0	1	0	0	0
m_blood	1	0	0	0	0	0	6	0	0	0	0	0	0
m_blood	0	1	1	0	0	0	6	0	0	0	0	0	0
m_blood	0	0	0	2	0	0	7	0	0	0	0	0	0
m_blood	0	0	0	0	0	0	0	0	0	1	0	0	0
m_blood	0	0	0	1	0	1	7	0	0	1	0	0	0
m_blood	0	0	0	1	1	0	7	0	0	0	0	0	0
