ID	atp6	atp8	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6
c_blood	0	0	0	0	0	0	5	0	0	0	0	0	0
c_blood	0	0	1	1	1	0	7	0	1	0	0	0	0
c_blood	0	0	0	1	0	0	7	0	0	1	0	0	0
c_blood	0	1	0	1	0	0	7	0	0	0	0	0	0
c_blood	0	0	0	0	0	0	0	1	0	0	0	0	0
c_blood	0	0	1	2	0	0	5	0	0	0	0	0	0
c_blood	0	0	1	0	1	0	5	0	0	0	0	0	0
c_blood	0	0	1	0	0	0	6	0	0	0	0	0	0
c_blood	0	0	0	0	0	0	5	0	0	0	0	0	0
c_blood	1	0	1	2	1	0	5	0	0	1	0	0	0
c_blood	0	1	0	1	0	1	11	1	1	0	0	1	0
c_blood	0	0	0	0	0	0	1	0	0	0	0	0	0
c_blood	0	0	0	0	0	0	5	0	0	1	0	0	0
c_blood	0	0	1	0	0	0	5	0	0	1	0	0	0
c_blood	0	1	0	1	0	0	11	0	0	2	0	1	0
c_blood	0	0	0	1	0	0	7	0	0	0	0	0	0
c_blood	0	0	0	1	0	0	5	0	0	0	0	0	0
c_blood	0	0	2	1	0	0	5	0	0	0	0	0	0
c_blood	0	0	0	0	0	0	0	0	0	0	0	2	0
c_blood	0	0	0	0	1	0	5	0	0	0	0	0	0
c_blood	0	0	0	0	0	0	4	0	0	0	0	1	0
c_blood	1	0	0	0	0	0	13	0	5	0	0	0	0
c_blood	0	0	1	1	0	1	6	0	0	0	0	0	0
c_blood	0	0	0	1	0	0	7	0	1	0	0	0	0
c_blood	0	0	1	2	0	0	4	0	0	0	0	1	0
c_blood	0	1	1	0	0	0	4	0	0	0	0	0	0
c_blood	0	0	0	1	0	0	7	0	0	0	0	0	0
c_blood	1	0	0	0	0	0	5	0	0	0	0	0	0
c_blood	0	0	0	1	0	0	6	0	0	1	0	0	0
c_blood	0	0	0	1	0	0	9	0	0	0	1	0	0
c_blood	0	0	0	0	0	0	7	0	0	0	0	0	0
c_blood	0	0	1	0	0	0	5	0	0	0	1	0	0
c_blood	0	0	0	1	0	0	7	1	0	0	0	0	0
c_blood	0	0	0	0	0	0	5	0	0	0	0	1	0
c_blood	0	0	0	1	0	0	7	0	0	0	0	0	0
c_blood	0	0	0	0	0	0	6	0	0	0	0	1	0
